goos: linux
goarch: amd64
pkg: hmcalister/opusbenchmark
cpu: AMD Ryzen 5 3600 6-Core Processor              
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	      26	  45238830 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	      26	  44865420 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	      26	  44909895 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	      27	  44575093 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	      27	  44640395 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	      25	  44759397 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	      26	  44669243 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	      26	  44398532 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	      26	  44466942 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	      26	  44436706 ns/op	       0 B/op	       0 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	    1020	   1177370 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	    1008	   1177376 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	    1015	   1180948 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	    1034	   1170566 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	     998	   1177581 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	    1033	   1162055 ns/op	      40 B/op	       2 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	    1039	   1152893 ns/op	      40 B/op	       2 allocs/op
