goos: linux
goarch: amd64
pkg: hmcalister/opusbenchmark
cpu: AMD Ryzen 5 3600 6-Core Processor              
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	     202	   5821688 ns/op	 6339391 B/op	    1822 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	     202	   5929760 ns/op	 6339386 B/op	    1822 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	     212	   5636951 ns/op	 6339394 B/op	    1822 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	     211	   5707550 ns/op	 6339384 B/op	    1822 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	     205	   5776160 ns/op	 6339387 B/op	    1822 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	     204	   5805420 ns/op	 6339394 B/op	    1822 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	     211	   5654223 ns/op	 6339399 B/op	    1822 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_8000,_Channels_2,_Frame_Duration_60000000-12         	     212	   5600922 ns/op	 6339397 B/op	    1822 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	       8	 142278072 ns/op	 1706344 B/op	    5998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	       8	 140047546 ns/op	 1706332 B/op	    5998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	       8	 140284024 ns/op	 1706332 B/op	    5998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	       8	 140450988 ns/op	 1706344 B/op	    5998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	       8	 141686838 ns/op	 1706332 B/op	    5998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	       8	 140452753 ns/op	 1706344 B/op	    5998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	       8	 140718536 ns/op	 1706346 B/op	    5998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	       8	 141041434 ns/op	 1706332 B/op	    5998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	       8	 140583372 ns/op	 1706332 B/op	    5998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	       8	 142194214 ns/op	 1706332 B/op	    5998 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	     192	   6142785 ns/op	 4688761 B/op	    5496 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	     198	   6115962 ns/op	 4688760 B/op	    5496 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	     192	   6094964 ns/op	 4688761 B/op	    5496 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	     198	   6083451 ns/op	 4688762 B/op	    5496 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	     195	   6067552 ns/op	 4688757 B/op	    5496 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	     192	   6190511 ns/op	 4688762 B/op	    5496 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	     194	   6122338 ns/op	 4688760 B/op	    5496 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	     195	   6199166 ns/op	 4688759 B/op	    5496 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	     195	   6154937 ns/op	 4688760 B/op	    5496 allocs/op
BenchmarkSilentTrack/Decode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_20000000-12        	     195	   6104424 ns/op	 4688757 B/op	    5496 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_40000000-12        	       8	 143971682 ns/op	 1705960 B/op	    2998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_40000000-12        	       8	 141671884 ns/op	 1705972 B/op	    2998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_40000000-12        	       8	 140470725 ns/op	 1705960 B/op	    2998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_40000000-12        	       8	 142856824 ns/op	 1705972 B/op	    2998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_40000000-12        	       7	 142970348 ns/op	 1669081 B/op	    2998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_40000000-12        	       8	 142977868 ns/op	 1705960 B/op	    2998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_40000000-12        	       8	 142287038 ns/op	 1705972 B/op	    2998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_40000000-12        	       8	 136340165 ns/op	 1705960 B/op	    2998 allocs/op
BenchmarkSilentTrack/Encode_Silent_Audio:_Sample_Rate_12000,_Channels_1,_Frame_Duration_40000000-12        	       8	 141568244 ns/op	 1705960 B/op	    2998 allocs/op
